No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Sensor 3,Sensor 4
6730,10,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),760,596,773,697
6731,11,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),797,605,767,693
6732,12,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),781,595,766,679
6733,13,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),788,588,769,698
6734,14,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),789,582,775,697
6735,15,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),783,594,767,693
6736,16,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),768,597,773,689
6737,17,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),778,586,764,703
6738,18,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),783,599,766,685
6739,19,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),782,590,770,712
6740,20,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),789,595,755,689
6741,21,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),784,583,765,703
6742,22,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),779,590,759,695
6743,23,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),783,585,765,701
6744,24,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),787,593,777,697
6745,25,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),795,596,766,685
6746,26,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),771,601,768,702
6747,27,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),777,587,763,699
6748,28,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),772,605,772,702
6749,29,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),786,603,770,695
6750,30,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),786,597,778,687
6751,31,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),787,603,762,702
6752,32,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),786,601,762,685
6753,33,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),790,597,762,690
6754,34,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),790,590,774,714
6755,35,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),788,588,770,701
6756,36,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),777,601,764,691
6757,37,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),767,595,768,689
6758,38,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),774,593,759,712
6759,39,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),770,589,775,694
6760,40,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),779,592,766,697
6761,41,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),771,587,773,688
6762,42,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),773,579,775,697
6763,43,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),771,586,768,698
6764,44,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),773,580,767,689
6765,45,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),773,581,764,697
6766,46,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),776,587,766,690
6767,47,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),785,581,767,695
6768,48,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),781,591,777,703
6769,49,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),776,591,770,698
6770,50,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),780,576,759,697
6771,51,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),788,582,766,685
6772,52,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),771,577,763,704
6773,53,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),785,581,762,695
6774,54,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),791,580,768,691
6775,55,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),786,582,767,709
6776,56,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),771,590,770,694
6777,57,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),755,605,762,700
6778,58,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),772,591,769,692
6779,59,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),791,583,769,705
6780,60,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Extreme),772,591,770,688
6781,1,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),782,585,766,690
6782,2,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),784,589,764,695
6783,3,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),792,601,767,708
6784,4,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),771,621,762,709
6785,5,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),780,624,778,686
6786,6,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),785,626,758,699
6787,7,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),787,628,765,694
6788,8,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),785,626,772,690
6789,9,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),794,609,774,696
6790,10,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),774,629,779,712
6791,11,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),785,623,775,708
6792,12,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),788,614,772,688
6793,13,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),781,615,770,697
6794,14,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),787,618,770,710
6795,15,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),791,624,768,697
6796,16,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),789,608,777,689
6797,17,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),772,619,773,695
6798,18,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),770,619,773,698
6799,19,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),795,612,766,713
6800,20,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),791,638,772,697
6801,21,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),782,616,762,682
6802,22,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),786,621,774,691
6803,23,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),795,631,771,707
6804,24,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),789,626,760,690
6805,25,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),788,627,768,696
6806,26,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),785,613,760,696
6807,27,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),784,623,761,691
6808,28,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),780,614,757,690
6809,29,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),787,624,763,696
6810,30,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),775,620,768,701
6811,31,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),795,622,761,690
6812,32,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),775,626,772,693
6813,33,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),768,623,767,696
6814,34,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),792,628,761,686
6815,35,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),792,624,763,697
6816,36,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),778,629,767,692
6817,37,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),782,619,771,693
6818,38,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),792,630,763,692
6819,39,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),789,627,770,692
6820,40,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),789,615,769,695
6821,41,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),775,625,769,694
6822,42,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),773,613,764,697
6823,43,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),787,631,766,690
6824,44,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),788,629,764,707
6825,45,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),786,613,764,694
6826,46,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),784,617,758,703
6827,47,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),794,609,768,678
6828,48,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),777,619,760,693
6829,49,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),784,626,777,696
6830,50,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),799,609,772,705
6831,51,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),782,612,765,715
6832,52,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),768,628,764,670
6833,53,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),783,629,777,697
6834,54,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),787,616,777,683
6835,55,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),793,624,776,701
6836,56,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),785,615,773,693
6837,57,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),780,621,763,686
6838,58,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),772,615,769,685
6839,59,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),779,625,760,708
6840,60,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Poking Chin (Acceptable),781,609,773,697
6841,1,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),793,618,768,697
6842,2,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),780,622,773,687
6843,3,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),785,628,766,703
6844,4,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),789,636,761,689
6845,5,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),787,649,768,697
6846,6,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),785,663,774,688
6847,7,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),785,657,763,678
6848,8,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),796,657,771,703
6849,9,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),789,646,770,706
6850,10,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),791,653,772,710
6851,11,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),793,649,763,706
6852,12,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),777,645,762,697
6853,13,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),788,649,759,698
6854,14,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),803,643,765,700
6855,15,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),778,635,760,696
6856,16,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),792,645,765,694
6857,17,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),784,664,762,689
6858,18,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),791,641,771,683
6859,19,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),785,660,770,683
6860,20,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),782,650,766,690
6861,21,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),779,649,764,698
6862,22,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),787,640,774,708
6863,23,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),790,655,775,697
6864,24,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),784,634,764,693
6865,25,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),778,646,773,698
6866,26,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),796,652,756,692
6867,27,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),788,640,769,692
6868,28,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),784,640,772,714
6869,29,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),783,649,767,710
6870,30,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),781,650,769,700
6871,31,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),786,630,762,693
6872,32,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),785,650,770,697
6873,33,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),795,630,761,693
6874,34,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),769,629,764,695
6875,35,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),780,641,775,681
6876,36,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),793,647,766,703
6877,37,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),783,644,771,688
6878,38,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),776,637,776,689
6879,39,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),781,645,766,672
6880,40,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),784,642,760,701
6881,41,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),788,643,777,695
6882,42,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),791,651,765,696
6883,43,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),795,642,774,689
6884,44,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),780,646,767,699
6885,45,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),786,648,755,685
6886,46,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),770,635,766,704
6887,47,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),786,635,766,701
6888,48,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),793,649,773,690
6889,49,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),786,624,774,684
6890,50,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),798,641,760,682
6891,51,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),785,645,777,703
6892,52,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),789,658,769,705
6893,53,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),784,624,766,685
6894,54,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),775,629,757,700
6895,55,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),779,643,765,704
6896,56,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),788,644,775,703
6897,57,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),771,658,770,700
6898,58,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),792,629,763,711
6899,59,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),792,637,772,703
6900,60,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neutral Position(Best Position),780,633,767,681
6901,1,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,787,633,768,701
6902,2,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,786,645,757,700
6903,3,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,783,644,768,695
6904,4,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,794,660,756,710
6905,5,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,768,661,771,699
6906,6,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,791,669,761,696
6907,7,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,804,656,763,698
6908,8,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,786,666,764,692
6909,9,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,785,664,764,689
6910,10,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,776,673,765,699
6911,11,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,769,669,767,695
6912,12,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,792,666,762,695
6913,13,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,785,651,763,694
6914,14,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,776,672,758,699
6915,15,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,790,666,762,696
6916,16,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,782,672,772,700
6917,17,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,791,659,763,690
6918,18,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,795,666,766,689
6919,19,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,787,670,1017,700
6920,20,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,794,684,765,707
6921,21,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,785,671,771,689
6922,22,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,781,661,769,695
6923,23,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,777,658,767,695
6924,24,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,783,649,767,702
6925,25,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,782,661,767,684
6926,26,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,780,666,761,698
6927,27,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,777,657,764,693
6928,28,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,779,667,761,712
6929,29,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,790,655,774,685
6930,30,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,787,667,776,689
6931,31,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,789,680,763,694
6932,32,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,777,670,766,701
6933,33,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,788,647,767,684
6934,34,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,780,670,776,708
6935,35,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,784,670,764,680
6936,36,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,797,665,759,696
6937,37,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,789,658,769,703
6938,38,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,784,671,773,707
6939,39,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,788,658,765,688
6940,40,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,788,667,761,685
6941,41,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,785,680,768,688
6942,42,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,784,680,765,688
6943,43,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,782,673,762,691
6944,44,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,765,653,760,697
6945,45,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,794,648,768,693
6946,46,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,790,665,768,698
6947,47,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,786,661,771,705
6948,48,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,789,655,767,694
6949,49,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,784,667,766,695
6950,50,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,787,664,761,691
6951,51,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,790,658,761,678
6952,52,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,781,673,762,685
6953,53,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,787,663,765,699
6954,54,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,778,676,769,695
6955,55,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,778,660,769,687
6956,56,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,769,670,761,696
6957,57,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,795,651,764,711
6958,58,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,778,669,763,695
6959,59,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,798,656,763,682
6960,60,Female,M,44,33,28,46,48,48,65,62,Acceptable Round Shoulder,Neck Extension,786,673,760,693
6961,1,Female,M,44,33,28,46,48,48,65,62,Normal Shoulder,Poking Chin (Extreme),734,630,724,750
6962,2,Female,M,44,33,28,46,48,48,65,62,Normal Shoulder,Poking Chin (Extreme),732,637,738,806
6963,3,Female,M,44,33,28,46,48,48,65,62,Normal Shoulder,Poking Chin (Extreme),747,646,747,807
6964,4,Female,M,44,33,28,46,48,48,65,62,Normal Shoulder,Poking Chin (Extreme),729,647,745,807
6965,5,Female,M,44,33,28,46,48,48,65,62,Normal Shoulder,Poking Chin (Extreme),749,609,747,810
6966,6,Female,M,44,33,28,46,48,48,65,62,Normal Shoulder,Poking Chin (Extreme),730,568,743,807
6967,7,Female,M,44,33,28,46,48,48,65,62,Normal Shoulder,Poking Chin (Extreme),739,563,740,802
